Datasety_Intenzita ŽD;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Počet vých vlakov;;;;Počet konč vlakov;;;;Počet tranz vlakov;;;;Počet vých vlakov;Počet konč vlakov;Počet tranz vlakov
;N;;O;;N;;O;;N;;O;;;;
Úplný názov dopravného bodu;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;;;
Hronsek;0;0;0;0;0;0;0;0;1427;875;27660;45;0;0;30007
Hronská Dúbrava;45;236;677;28;11;278;778;27;891;919;13530;219;986;1094;15559
Hronské Kľačany;0;0;0;0;0;0;0;0;394;494;4783;4;0;0;5675
Hronský Beňadik;4;10;0;0;7;7;0;0;73;104;2002;2;14;14;2181
Hucín;0;0;;;0;21;;;429;51;;;0;21;480
Hul;4;41;1;1;6;42;1;1;559;848;12835;8;47;50;14250
Humenné;10;74;11314;114;11;76;11333;117;813;10;73;18;11512;11537;914
Humenné mesto;0;0;0;0;0;0;0;0;378;7;7802;56;0;0;8243
Humenné mesto2;0;0;0;0;0;0;0;0;459;14;7935;56;0;0;8464
Huncovce;0;0;0;0;0;0;0;0;389;111;9912;7;0;0;10419
Hurbanovo;50;47;29;0;48;54;28;0;2121;1331;8883;9;126;130;12344
Hutníky;0;0;0;0;0;0;0;0;2131;1554;12461;69;0;0;16215
Ilava;2;47;1;0;0;47;2;2;7813;1719;39525;166;50;51;49223
Ipeľský Sokolec;0;0;0;0;0;0;0;0;25;92;1945;1;0;0;2063
Istebné;0;0;0;;0;0;0;;342;235;7968;;0;0;8545
Ivanka pri Dunaji;0;0;0;0;0;0;0;0;9580;2767;37472;143;0;0;49962
Ivanka pri Nitre;8;18;5;0;7;20;10;0;417;325;10220;54;31;37;11016
Jablonica;44;143;7;1;40;149;58;2;1085;882;9991;1;195;249;11959
Jablonica obec;;0;0;;;0;0;;;4;8;;0;0;12
