Datasety_Intenzita ŽD;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Počet vých vlakov;;;;Počet konč vlakov;;;;Počet tranz vlakov;;;;Počet vých vlakov;Počet konč vlakov;Počet tranz vlakov
;N;;O;;N;;O;;N;;O;;;;
Úplný názov dopravného bodu;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;;;
odb.výh.č.536;0;0;0;0;0;0;0;0;9708;4273;16312;54;0;0;30347
Úpor;41;27;221;0;38;32;205;1;167;690;9880;5;289;276;10742
Úľany nad Žitavou;0;278;30;2;0;283;30;2;918;443;15427;16;310;315;16804
Čab-Sila;;0;0;;;0;0;;;73;6;;0;0;79
Čab-Sila zastávka;;0;0;;;0;0;;;73;6;;0;0;79
Čachtice;9;26;1;0;9;23;2;0;23;508;8627;2;36;34;9160
Čadca;2330;2108;10181;6;2335;2816;10174;6;4768;426;21877;12;14625;15331;27083
Čadca mesto;0;0;0;0;1;0;0;0;10693;2414;30696;18;0;1;43821
Čadca zastávka;;0;0;;;0;0;;;8;9283;;0;0;9291
Čakajovce;0;0;0;0;0;0;0;0;502;404;10490;48;0;0;11444
Čamovce;0;0;0;0;0;0;0;0;713;232;9560;20;0;0;10525
Čata;4;29;1181;1;1;38;1175;2;104;129;4666;2;1215;1216;4901
Čaňa;376;512;1;1;366;578;1;0;1894;596;4845;11;890;945;7346
Čerenčany;0;0;0;0;0;0;0;0;53;92;7494;4;0;0;7643
Čerhov;0;0;0;0;0;0;0;0;5221;1583;11534;20;0;0;18358
Červenica;0;0;0;0;0;0;0;0;1634;977;13774;6;0;0;16391
Červená Skala;7;5;1130;0;6;10;1844;0;2;3;885;1;1142;1860;891
České Brezovo;0;0;0;;0;0;0;;23;11;6416;;0;0;6450
Čečejovce;13;55;44;0;14;59;44;1;2684;1341;12262;64;112;118;16351
Čeľovce;5;93;0;0;5;83;0;0;1057;1145;8654;27;98;88;10883
Čierna nad Tisou;2659;2294;4762;10;3227;1634;4761;11;9;10;2752;0;9725;9633;2771
Čierna nad Tisou zastávka;0;0;0;0;0;0;0;0;4489;2135;11525;21;0;0;18170
Čierna nad Tisou ŠRT;913;52;;;826;140;;;0;0;;;965;966;0
Čierne nad Topľou;123;26;2;2;15;11;18;0;1077;399;8799;39;153;44;10314
Čierne pri Čadci;1;15;2;1;1;15;2;1;27;209;13419;1;19;19;13656
Čierne pri Čadci zastávka;0;0;0;0;0;0;0;0;27;209;13420;1;0;0;13657
Čierne-Polesie;0;0;0;0;0;0;0;0;27;209;13420;1;0;0;13657
Čirč;0;1;0;;0;1;0;;1263;503;186;;1;1;1952
Čoltovo;0;0;0;0;0;0;0;0;835;211;5696;24;0;0;6766
Čremošné;0;460;2;1;3;21;4;1;1136;642;6657;20;463;29;8455
Číž kúpele;0;0;0;0;0;0;0;0;774;331;5692;21;0;0;6818
Ďurková;0;0;0;0;0;0;0;0;1534;892;175;2;0;0;2603
Ľubiša;0;0;0;0;0;0;0;0;224;7;7802;56;0;0;8089
Ľubochňa;119;227;4;7;123;221;7;9;11822;1163;29956;120;357;360;43061
Ľubotín;0;0;0;0;0;0;0;0;1534;892;175;2;0;0;2603
Ľudovítov;0;0;0;0;0;0;0;0;10660;3651;20628;215;0;0;35154
Šahy;82;39;323;2;83;35;334;3;16;63;1638;0;446;455;1717
Šajdíkove Humence;45;37;7;0;45;38;8;0;1567;1343;8887;2;89;91;11799
Šalková;93;0;0;0;93;0;0;0;743;202;10349;37;93;93;11331
Šarišské Lúky;5;13;0;1;8;14;1;1;2315;559;15679;63;19;24;18616
Šarišské Michaľany;0;0;0;0;0;0;0;0;1642;910;13980;6;0;0;16538
Šaľa;70;275;4;2;70;277;5;5;11372;3570;26780;204;351;357;41926
Šaštín-Stráže;0;156;0;0;0;154;0;0;1667;1260;8894;2;156;154;11823
Šelpice;43;47;0;0;44;47;0;0;1407;1089;10141;3;90;91;12640
Šenkvice;30;41;4;0;30;43;5;2;7467;2424;57686;154;75;80;67731
Šiba;0;0;0;0;0;0;0;0;170;76;7156;5;0;0;7407
Štrba;28;2832;5;6;24;647;8;6;8954;785;24827;91;2871;685;34657
Štrba OŽ;;2;8682;5;;2;8682;5;;0;0;0;8689;8689;0
Štrba zastávka;0;0;0;0;0;0;0;0;11189;3036;24836;102;0;0;39163
Štrbské Pleso;;10;16083;5;;9;16089;5;;0;2;0;16098;16103;2
Štrkovec;0;0;0;0;0;0;0;0;833;427;5696;21;0;0;6977
Štítnik;28;0;;;28;0;;;0;8;;;28;28;8
Štítnik mesto;0;0;;;0;0;;;56;8;;;0;0;64
Štúrovo;3460;2437;6382;75;3425;2516;6384;68;2215;173;6515;5;12354;12393;8908
Štúrovo tranzitná skupina;733;71;0;0;751;65;0;0;6941;2728;14192;115;804;816;23976
Šurany;244;261;828;9;238;234;2147;7;1251;665;23326;66;1342;2626;25308
Šurany zastávka;0;0;0;0;0;0;0;0;921;433;15459;19;0;0;16832
Švedlár;0;1;2;0;0;2;2;0;59;73;10776;4;3;4;10912
Švedlár zastávka;0;0;0;0;0;0;0;0;59;76;10784;4;0;0;10923
Švošov;0;0;0;0;0;0;0;0;12059;1363;29961;121;0;0;43504
Šášovské Podhradie;0;0;0;0;0;0;0;0;704;752;10163;4;0;0;11623
Šíd;0;0;0;0;0;0;0;0;713;232;9559;20;0;0;10524
Šúrovce;0;0;0;0;0;0;0;0;2390;1168;175;158;0;0;3891
Šútovo;0;0;0;0;0;0;0;0;11825;1687;30409;192;0;0;44113
Ťahanovce;0;0;0;0;0;0;0;0;12696;3611;55053;265;0;0;71625
Žabokreky nad Nitrou;0;4;1;1;0;4;1;3;579;447;12894;63;6;8;13983
Žakarovce;0;0;0;0;0;0;0;0;203;149;10793;6;0;0;11151
Žarnovica;81;75;1138;0;84;75;1620;1;320;350;6978;2;1294;1780;7650
Želiezovce;37;15;35;0;27;26;30;0;21;100;4592;1;87;83;4714
Žiar nad Hronom;198;320;1;0;202;317;2;1;412;397;10158;3;519;522;10970
Žiar nad Hronom zastávka;0;0;0;0;0;0;0;0;666;683;10160;3;0;0;11512
Žihárec;0;0;0;;0;0;0;;20;123;2;;0;0;145
Žihárec zastávka;0;0;0;;0;0;0;;20;123;2;;0;0;145
Žilina;1074;3101;18704;200;1278;2993;18742;195;17730;2971;32836;139;23079;23208;53676
Žilina zariečie;0;0;0;0;0;0;0;0;339;138;4361;2;0;0;4840
Žilina zriaďovacia stanica;520;194;3;5;384;250;4;9;8698;1762;32934;218;722;647;43612
Žilina-Solinky;0;0;0;0;0;0;0;0;339;138;4361;2;0;0;4840
Žilina-Teplička;960;2334;338;10;639;1832;334;13;3743;402;17;14;3642;2818;4176
Žilina-Teplička TIP;137;5;;0;136;5;;0;297;4;;2;142;141;303
Žilina-Teplička odch. sk;5293;402;0;0;1524;1529;1;0;6711;2576;16310;54;5695;3054;25651
Žilina-Teplička smerová sk.;;1;;;;1;;;;0;;;1;1;0
Žilina-Teplička vchod. sk.;40;797;;;4182;45;;;1;13;;;837;4227;14
Žirany;;49;;;;50;;;;0;;;49;50;0
Celkový súčet;94458;95033;663635;4766;94199;96442;678144;4767;2798126;836311;13012760;48199;857892;873552;16695396
