;;;;KAPACITA  2025;;;;
  ŽSR vyjadruje voľnú kapacitu trate:;;;;;;;;
a)  využitím  priepustnej  výkonnosti pravidelnou vlakovou dopravou, ;;;;;;;;
b)  počtom voľných  vlakových trás.;;;;;;;;
;;;;;;;;
;Vysvetlivky:;OD   - osobná doprava;;P   - párny smer;;Ppp   - párny smer, vlaky podľa potreby;;
;;ND   - nákladná doprava;;N   - nepárny smer;;Npp   - nepárny smer, vlaky podľa potreby;;
;;;;;;;;
Trať;Traťový úsek;Obmedzujúci medzistaničný úsek;Smer;Počet  trás vlakov;;;Voľná kapacita (NVK);Stupeň obsadenia traťovej koľaje pravidelnou dopravou (So)
;;;;OD;ND;Kapacita (n);Využitie praktickej priepustnosti v % (Kvp);
;;;P;4;0;20;;0,35
119;Šahy;Šahy;Ppp;0;1;;10;
B;Čata;Čata;N;4;0;;40,0;
;;;Npp;0;1;;;
;;;P;8;0;27;;0,53
119;Levice;Čata;Ppp;0;1;;8;
C;Štúrovo;Štúrovo;N;9;0;;63,0;
;;;Npp;;1;;;
;;;P;9;13;80;57;0,27
120;Szob (HU);Szob (HU);Ppp;0;1;;27,7;
A;Štúrovo;Štúrovo;N;9;15;77;52;0,29
;;;Npp;0;1;;31,3;
;;;P;22;50;125;51;0,46
120;Štúrovo;Gbelce;Ppp;0;2;;57,8;
A;Nové Zámky;Strekov;N;21;50;124;51;0,45
;;;Npp;0;1;;57,4;
;;;P;30;62;158;64;0,47
120;Nové Zámky;Nové Zámky;Ppp;0;2;;58,2;
A;Palárikovo;Palárikovo;N;32;62;165;69;0,41
;;;Npp;0;2;;57,0;
;;;P;40;65;165;54;0,46
120;Palárikovo;Šaľa;Ppp;0;6;;63,7;
A;Galanta;Galanta;N;43;66;170;57;0,48
;;;Npp;0;4;;64,3;
;;;P;52;52;143;34;0,50
120;Galanta;Sládkovičovo;Ppp;0;5;;72,8;
A;Bratislava-Vajnory;Senec;N;52;53;158;49;0,58
;;;Npp;0;4;;66,4;
;;;P;52;41;150;57;0,47
120;Bratislava-Vajnory;Odb Močiar;Ppp;0;0;;62,2;
A;Bratislava hl. st.;Bratislava hl. st.;N;52;42;166;72;0,41
;;;Npp;0;0;;56,7;
;;;P;0;12;50;;0,35
120;Komárom (HU);Komárom (HU);Ppp;0;0;;27;
